stop_id	stop_name	stop_lat	stop_lon	fromNode	toNode	Distance	PulloutCapacity	TimePoint	PassengerCapacity
390	19th_Avenue_&_Holloway_St	37.72119	-122.475096	0	0	0	0	1	100
660	MISSION_ST_&_OCEAN_AVENUE	37.723914	-122.435387	0	0	0	0	1	100
913	DUBLIN_ST_&_LAGRANDE_AVE	37.719192	-122.425802	0	0	0	0	1	100
3003	2nd_St_&_Brannan_St___	37.781827	-122.391945	0	0	0	0	1	100
3004	2nd_St_&_Brannan_St___	37.781854	-122.392232	0	0	0	0	1	100
3008	2nd_St_&_Folsom_St___	37.785318	-122.396562	0	0	0	0	1	100
3009	2nd_St_&_Harrison_St___	37.784532	-122.395325	0	0	0	0	1	100
3010	2nd_St_&_Harrison_St___	37.784095	-122.395016	0	0	0	0	1	100
3011	2nd_St_&_Howard_St___	37.786559	-122.398109	0	0	0	0	1	100
3012	2nd_St_&_Market_St___	37.789067	-122.401306	0	0	0	0	1	100
3013	2nd_St_&_Stevenson_St___	37.78862	-122.40065	0	0	0	0	1	100
3015	2nd_St_&_Townsend_St___	37.780622	-122.390685	0	0	0	0	1	100
3016	3rd_St_&_4th_St__	37.772618	-122.389786	0	0	0	0	1	100
3018	Bacon_St_&_San_Bruno_Ave___	37.727739	-122.40324	0	0	0	0	1	100
3019	Bacon_St_&_San_Bruno_Ave__	37.727645	-122.403269	0	0	0	0	1	100
3020	Bacon_St_&_Somerset_St__	37.72667	-122.40746	0	0	0	0	1	100
3021	Bacon_St_&_Somerset_St__	37.72654	-122.40766	0	0	0	0	1	100
3023	BOWLEY_ST_&_GIBSON_RD	37.790249	-122.482263	0	0	0	0	1	100
3024	Baker_St_&_Greenwich_St__	37.797606	-122.445693	0	0	0	0	1	100
3025	Battery_St_&_Broadway__	37.798311	-122.401093	0	0	0	0	1	100
3026	Battery_St_&_Filbert_St__	37.80216	-122.40184	0	0	0	0	1	100
3029	Battery_St_&_Green_St__	37.80055	-122.40151	0	0	0	0	1	100
3030	Battery_St_&_Jackson_St__	37.79686	-122.40077	0	0	0	0	1	100
3031	Bay_St_&_Midway_St__	37.806094	-122.409161	0	0	0	0	1	100
3032	Balboa_St_&_4th_Ave__	37.777396	-122.461751	0	0	0	0	1	100
3033	Balboa_St_&_4th_Ave__	37.777262	-122.461969	0	0	0	0	1	100
3034	Balboa_St_&_6th_Ave__	37.777289	-122.464158	0	0	0	0	1	100
3035	Balboa_St_&_6th_Ave__	37.777173	-122.463849	0	0	0	0	1	100
3036	Balboa_St_&_8th_Ave__	37.777199	-122.466038	0	0	0	0	1	100
3037	Balboa_St_&_8th_Ave__	37.777065	-122.466256	0	0	0	0	1	100
3038	Balboa_St_&_10th_Ave__	37.777101	-122.46817	0	0	0	0	1	100
3039	Balboa_St_&_10th_Ave__	37.776967	-122.468388	0	0	0	0	1	100
3040	Balboa_St_&_12th_Ave__	37.777002	-122.470313	0	0	0	0	1	100
3041	Balboa_St_&_12th_Ave__	37.776868	-122.470531	0	0	0	0	1	100
3042	Balboa_St_&_14th_Ave__	37.77678	-122.4727	0	0	0	0	1	100
3043	Balboa_St_&_17th_Ave__	37.77676	-122.475769	0	0	0	0	1	100
3044	Balboa_St_&_17th_Ave__	37.776626	-122.475987	0	0	0	0	1	100
3045	Balboa_St_&_19th_Ave__	37.776662	-122.477912	0	0	0	0	1	100
3046	Balboa_St_&_19th_Ave__	37.776528	-122.47813	0	0	0	0	1	100
3047	Balboa_St_&_21st_Ave__	37.776563	-122.480056	0	0	0	0	1	100
3048	Balboa_St_&_21st_Ave__	37.776429	-122.480273	0	0	0	0	1	100
3049	Balboa_St_&_23rd_Ave__	37.77647	-122.48219	0	0	0	0	1	100
3050	Balboa_St_&_23rd_Ave__	37.77633	-122.482417	0	0	0	0	1	100
3051	Balboa_St_&_25th_Ave__	37.776356	-122.484606	0	0	0	0	1	100
3052	Balboa_St_&_25th_Ave__	37.77624	-122.484296	0	0	0	0	1	100
3053	Balboa_St_&_28th_Ave__	37.776222	-122.487551	0	0	0	0	1	100
3054	Balboa_St_&_28th_Ave__	37.776088	-122.487769	0	0	0	0	1	100
3055	Balboa_St_&_30th_Ave__	37.776114	-122.489958	0	0	0	0	1	100
3056	Balboa_St_&_30th_Ave__	37.775989	-122.489912	0	0	0	0	1	100
3057	Balboa_St_&_32nd_Ave__	37.776024	-122.491838	0	0	0	0	1	100
3058	Balboa_St_&_32nd_Ave__	37.77589	-122.492056	0	0	0	0	1	100
3059	Balboa_St_&_34th_Ave__	37.775791	-122.494199	0	0	0	0	1	100
3060	Balboa_St_&_35th_Ave___	37.775898	-122.494577	0	0	0	0	1	100
3061	Balboa_St_&_37th_Ave__	37.775781	-122.497202	0	0	0	0	1	100
3062	Balboa_St_&_37th_Ave__	37.775647	-122.497419	0	0	0	0	1	100
3063	Balboa_St_&_40th_Ave__	37.775637	-122.500399	0	0	0	0	1	100
3064	Balboa_St_&_40th_Ave__	37.775503	-122.500617	0	0	0	0	1	100
3065	Balboa_St_&_43rd_Ave__	37.775484	-122.50362	0	0	0	0	1	100
3066	Balboa_St_&_43rd_Ave__	37.77535	-122.503838	0	0	0	0	1	100
3067	Balboa_St_&_Arguello_Blvd__	37.77747	-122.45886	0	0	0	0	1	100
